MaxFitness,MeanFitness,StdDevFitness,MaxComplexity,MeanComplexity,StdDevComplexity,MeanSpeciesChampFitness,StdDevSpeciesChampFitness,MinSpeciesSize,MaxSpeciesSize,SpeciesCount,Generation
1.2015,0.91797,0.231106132,615,613.66,0.551724569,0.98105,0.249083365,1,21,10,1
1.2335,0.95668,0.211534861,615,613.68,0.61449166,1.14105,0.054706695,1,13,10,2
1.2335,1.01364,0.108781894,615,613.74,0.558927544,1.1395,0.060882674,1,13,10,3
1.2335,1.04337,0.083190853,1193,625.2,81.11596637,1.1457,0.052580034,1,11,10,4
1.2335,1.04766,0.10190272,1194,671.48,173.9740486,1.16365,0.04531614,1,10,10,5
1.2335,1.06076,0.090843945,1193,636.84,113.5271527,1.16415,0.044913834,1,11,10,6
1.2335,1.04591,0.085679501,1194,671.52,173.8942483,1.14,0.058452117,1,16,10,7
1.2335,1.06257,0.083684169,1194,671.58,173.8743328,1.1468,0.053435569,1,21,10,8
1.298,1.06626,0.094318092,1195,660.32,157.5222448,1.14895,0.088991137,1,26,10,9
1.298,1.05893,0.101900933,1194,660.04,157.4572907,1.199,0.049827703,1,11,10,10
1.298,1.06625,0.100636437,617,614.32,0.904212364,1.15605,0.07959945,1,28,10,11
1.298,1.05505,0.089654183,615,613.94,0.785111457,1.1872,0.065962944,1,11,10,12
1.298,1.06837,0.105740144,616,614.24,0.884533775,1.1915,0.060156047,2,10,10,13
1.298,1.06494,0.105777769,616,614.2,0.916515139,1.1936,0.043528611,2,10,10,14
1.298,1.05994,0.10460027,617,614.42,1.150478161,1.179,0.051482521,1,11,10,15
1.298,1.05294,0.106911535,617,614.44,1.042305138,1.17405,0.05842493,1,11,10,16
1.298,1.07894,0.077114502,618,614.66,1.450655024,1.1696,0.059334139,1,16,10,17
1.298,1.04946,0.099479286,617,614.58,1.06,1.1712,0.069534955,1,18,10,18
1.298,1.03843,0.120697639,618,614.34,1.290116274,1.1609,0.084931678,1,12,10,19
1.298,1.02884,0.102148981,618,614.8,1.148912529,1.13295,0.098393712,1,20,10,20
1.298,1.04991,0.093494208,616,614.32,0.904212364,1.15855,0.060591852,1,11,10,21
1.298,1.03188,0.118480064,617,614.58,1.001798383,1.16215,0.065578217,1,10,10,22
1.298,1.04644,0.080005415,616,614.52,0.780768852,1.1467,0.071616409,1,12,10,23
1.298,1.0636,0.08627943,616,614.64,0.8428523,1.14895,0.08435,1,11,10,24
1.302,1.06838,0.098603426,616,614.62,0.718052923,1.1637,0.075761534,2,11,10,25
1.302,1.05275,0.095024799,617,614.78,0.756042327,1.16755,0.082185294,1,19,10,26
1.302,1.06907,0.077320308,616,614.66,0.790189851,1.1497,0.071378638,1,16,10,27
1.302,1.06431,0.090816072,617,614.84,0.808949937,1.16845,0.0686041,1,20,10,28
1.302,1.07173,0.102200108,617,614.82,1.052425769,1.16795,0.058259098,1,15,10,29
1.302,1.07377,0.090854621,617,614.88,0.815843122,1.1955,0.048353387,1,15,10,30
1.302,1.07404,0.098689049,1202,626.78,82.1835239,1.16525,0.062543285,1,16,10,31
1.302,1.0496,0.108635261,617,614.62,0.745385806,1.18585,0.067058575,1,17,10,32
1.302,1.06656,0.114319974,618,615.1,1.1,1.18205,0.058646164,1,16,10,33
1.302,1.05908,0.095209892,618,614.98,1.067520492,1.197,0.050991176,1,26,10,34
1.302,1.05322,0.099831366,617,615.38,1.037111373,1.15105,0.084200787,1,21,10,35
1.3235,1.05372,0.100379139,618,615.36,1.212600511,1.17795,0.091228134,1,30,10,36
1.3235,1.07098,0.122279964,619,615.84,1.553833968,1.1916,0.079318283,1,16,10,37
1.3235,1.0765,0.096853085,618,615.54,1.445129752,1.2123,0.068225069,2,11,10,38
1.3235,1.06348,0.103214677,619,615.88,1.656985214,1.18975,0.085875273,1,15,10,39
1.3235,1.06687,0.115819679,619,615.48,1.539350512,1.21595,0.068821672,1,15,10,40
1.3235,1.06982,0.094056353,619,616.34,1.632298992,1.16645,0.060267923,1,10,10,41
1.3235,1.08011,0.092530119,619,616.08,1.659397481,1.1763,0.053887011,1,16,10,42
1.3235,1.07488,0.109682157,619,616.88,1.669011684,1.17155,0.066156802,1,20,10,43
1.3235,1.08904,0.092203842,619,615.6,1.37113092,1.1925,0.083022888,1,31,10,44
1.3235,1.06289,0.11357413,620,617.2,1.732050808,1.1825,0.082175726,1,20,10,45
1.3235,1.08157,0.09591147,620,616.52,1.982321871,1.20455,0.051817685,1,17,10,46
1.3235,1.09102,0.087104303,620,617.24,2.074222746,1.197,0.053178003,1,21,10,47
1.3235,1.08985,0.097709941,621,616.78,2.090837153,1.22165,0.044664891,1,20,10,48
1.3235,1.09125,0.095626422,622,617.68,2.034109142,1.18185,0.074344822,1,16,10,49
1.3235,1.08161,0.111683226,622,617.38,2.305558501,1.2056,0.052448451,1,15,10,50
1.3235,1.07592,0.104552109,621,617.72,2.020297008,1.1923,0.086198956,1,15,10,51
1.3235,1.06777,0.127995907,622,617.6,2.383275058,1.196,0.071961448,1,20,10,52
1.3235,1.07515,0.114750654,622,618.44,2.281753712,1.2093,0.042875517,1,11,10,53
1.3235,1.05091,0.117749042,621,617.36,2.095328137,1.1874,0.079452753,1,15,10,54
1.3235,1.061,0.108954073,621,617.9,2.147091055,1.18695,0.074880388,1,10,10,55
1.3235,1.06727,0.119378231,622,617.72,2.306859337,1.20715,0.057124447,2,15,10,56
1.3235,1.07052,0.103575912,622,617.98,2.204450045,1.1816,0.065792781,1,10,10,57
1.3235,1.06988,0.107241809,621,617.52,2.137662275,1.17385,0.12270433,1,20,10,58
1.3235,1.08851,0.113064163,622,618.54,2.090071769,1.204,0.070537933,1,14,10,59
1.3235,1.08647,0.122568773,621,617.64,2.066494616,1.1989,0.093886581,1,21,10,60
1.3505,1.09014,0.108455523,622,618.76,2.205085032,1.20595,0.089784033,1,15,10,61
1.3505,1.07167,0.12154804,628,618.46,2.743792995,1.19295,0.11450774,1,16,10,62
1.379,1.08686,0.113223233,629,619.22,3.448419928,1.20795,0.123923454,1,15,10,63
1.379,1.07036,0.130334571,623,618.02,2.679477561,1.2128,0.122151381,1,10,10,64
1.379,1.10002,0.117752068,627,618.46,2.515631134,1.20635,0.110127665,1,11,10,65
1.379,1.08328,0.120207494,623,618.74,2.575344637,1.23365,0.082971998,1,14,10,66
1.379,1.08659,0.104273759,622,618.88,2.28595713,1.20445,0.087176674,1,17,10,67
1.379,1.07334,0.122448007,622,619.24,2.421239352,1.18755,0.137538985,1,12,10,68
1.379,1.05978,0.127254436,623,619.3,2.410394159,1.2067,0.08128044,1,21,10,69
1.379,1.07613,0.112651845,623,619.28,2.433433788,1.2031,0.083603469,1,14,10,70
1.379,1.08107,0.104356936,623,619.88,2.635450626,1.19235,0.121196339,1,16,10,71
1.379,1.0717,0.128808113,623,619.66,2.717425252,1.2298,0.085626281,4,6,10,72
