MaxFitness,MeanFitness,StdDevFitness,MaxComplexity,MeanComplexity,StdDevComplexity,MeanSpeciesChampFitness,StdDevSpeciesChampFitness,MinSpeciesSize,MaxSpeciesSize,SpeciesCount,Generation
0.8095,0.4677,0.205416187288149,27,26.06,0.58,0.58305,0.192719803082091,1,25,10,1
0.8575,0.57572,0.161258958200777,27,25.92,0.627375485654325,0.6253,0.20379820902059,1,33,10,2
0.894,0.63652,0.191691808901685,28,26.42,0.896437393240599,0.70285,0.229491072811123,1,24,10,3
0.894,0.71848,0.135124644680384,28,26.52,0.921737489744233,0.8061,0.108565372011521,1,18,10,4
0.93,0.73293,0.131216691392521,29,27.1,1.00498756211209,0.82415,0.0619189187567096,1,23,10,5
0.932,0.77569,0.111935556906642,28,26.94,0.903548559846121,0.8677,0.0688451886481546,1,15,10,6
0.9325,0.77107,0.113614128082735,29,27.62,1.01764433865668,0.8686,0.0701978632153429,1,17,10,7
0.98,0.78181,0.112793124347187,29,26.98,0.96932966528421,0.8913,0.0787376021986954,1,21,10,8
0.98,0.82447,0.112829757156523,52,28.36,3.51431358873963,0.89795,0.0511568421621194,1,12,10,9
0.985,0.81975,0.0892876391221092,29,27.2,1.05830052442584,0.90875,0.0508080948274977,1,20,10,10
0.985,0.8094,0.101109099491589,30,28.02,1.0675204916066,0.89005,0.0546445102457695,1,11,10,11
1.032,0.81771,0.102994858609544,29,27.18,1.05242576935383,0.88185,0.0794103425253915,1,20,10,12
1.032,0.82205,0.112780062511066,30,27.88,1.01271911209377,0.8989,0.0588433513661484,1,11,10,13
1.032,0.80802,0.10097306373484,29,27.26,1.18,0.89715,0.0773896149363724,1,19,10,14
1.032,0.80811,0.129820387073834,30,27.8,1.05830052442584,0.90685,0.0668820043060912,1,12,10,15
1.032,0.85575,0.0873632216667861,30,27.9,1.3,0.92075,0.0590047667565935,2,11,10,16
1.032,0.83457,0.108411254489559,30,27.88,1.17711511756497,0.9196,0.0579309071221917,2,11,10,17
1.032,0.84171,0.100759619391897,30,28.04,1.34104436913922,0.9237,0.0837234136905562,1,15,10,18
1.032,0.85488,0.105042970255034,31,28.58,1.21803119828681,0.9159,0.0679392375582771,1,12,10,19
1.032,0.85499,0.104565457489555,31,28.58,1.44346804606129,0.9358,0.0686648381633569,3,10,10,20
1.032,0.8467,0.112316695108074,31,28.94,1.23951603458769,0.9442,0.0604508891580595,4,6,10,21
1.032,0.86267,0.113180679004855,31,29.1,1.0816653826392,0.9226,0.0843320223877028,1,10,10,22
1.0385,0.85197,0.107369381575941,31,29.16,1.06508215645555,0.9425,0.0902518697867252,2,11,10,23
1.068,0.8859,0.100349190330565,32,29.46,1.28390030765632,0.9412,0.0937545198910432,2,12,10,24
1.068,0.86602,0.109140229063348,31,29.26,1.11013512691023,0.96025,0.0887409854576791,2,10,10,25
1.068,0.87939,0.0919095909032349,32,29.62,1.23109707172099,0.96075,0.0880423903582814,4,6,10,26
1.068,0.85718,0.134578704110271,32,29.42,1.15047816146157,0.9622,0.0876034245905947,4,6,10,27
1.068,0.87161,0.109059859251697,31,29.48,1.08148046676766,0.9634,0.0883478352875723,4,6,10,28
1.1,0.87418,0.115648292680869,32,29.48,1.17029910706622,0.97105,0.0928230709468288,4,6,10,29
1.1,0.87029,0.121746256205273,32,29.48,1.2687001221723,0.97175,0.0915710789496335,4,7,10,30
1.1,0.87491,0.124481873780884,32,29.64,1.24515059330187,0.97345,0.0931065115875362,4,6,10,31
1.1,0.88129,0.129573843425284,32,29.64,1.27687117596099,0.97525,0.0925989335791726,3,7,10,32
1.1,0.87383,0.113252046780621,32,29.68,1.25602547744861,0.97615,0.082307669751974,1,10,10,33
1.1,0.89843,0.0978305683311714,32,30.14,1.23304501134387,0.98915,0.0743037852333245,2,11,10,34
1.1,0.88994,0.101538694102298,32,29.8,1.32664991614216,0.96655,0.0806329492205265,1,16,10,35
1.125,0.87366,0.129971206041954,32,30.38,1.03711137299713,0.98705,0.0918889139123975,1,15,10,36
1.125,0.89495,0.101392960801034,32,30.24,1.40797727254384,0.9887,0.0853543203358799,1,22,10,37
1.125,0.87906,0.103931209941961,32,30.56,1.08,0.97555,0.0975977586832813,1,15,10,38
1.125,0.89427,0.0857692374922384,33,30.58,0.981631295344642,0.976,0.0765806764138317,1,20,10,39
1.125,0.90146,0.081064964072033,33,30.58,0.981631295344642,0.9935,0.0615024389760276,1,14,10,40
1.125,0.92622,0.0724692458909295,33,30.7,0.964365076099296,0.99515,0.0672685104636635,1,15,10,41
1.125,0.90416,0.115581851516577,32,30.6,1,1.00005,0.0613939940059286,1,10,10,42
1.125,0.920620000000001,0.0907627434578748,32,30.76,0.99116093546911,0.9884,0.0922249423962954,1,16,10,43
1.125,0.91045,0.124088688042061,32,30.62,1.01764433865668,1.02355,0.0487362544724151,1,19,10,44
1.125,0.93971,0.0690625868325246,33,31.38,1.09343495462693,1.00685,0.0663408056930273,1,15,10,45
1.125,0.92287,0.0938824696096135,33,31.02,1.19146968068852,1.02705,0.0470693371527579,1,14,10,46
1.125,0.92939,0.089529452695747,34,31.76,1.03072789813801,1.00665,0.0677875541674133,1,14,10,47
1.125,0.9217,0.106556745445795,34,31.58,1.04096109437385,1.0407,0.0475910705910258,1,10,10,48
1.125,0.91696,0.100679235197731,35,31.86,1.13154761278525,1.0315,0.0582164066221886,1,10,10,49
1.125,0.9344,0.0878771301306546,34,31.72,1.02058806577385,1.02585,0.0704279951439767,1,10,10,50
